prefecture,district_number,district_name
神奈川県,3,神奈川県第3区
神奈川県,4,神奈川県第4区
神奈川県,5,神奈川県第5区
神奈川県,6,神奈川県第6区
神奈川県,7,神奈川県第7区
神奈川県,8,神奈川県第8区
神奈川県,9,神奈川県第9区
神奈川県,10,神奈川県第10区
神奈川県,11,神奈川県第11区
神奈川県,12,神奈川県第12区
神奈川県,13,神奈川県第13区
神奈川県,14,神奈川県第14区
神奈川県,15,神奈川県第15区
神奈川県,16,神奈川県第16区
神奈川県,17,神奈川県第17区
神奈川県,18,神奈川県第18区
新潟県,1,新潟県第1区
新潟県,2,新潟県第2区
新潟県,3,新潟県第3区
新潟県,4,新潟県第4区
新潟県,5,新潟県第5区
新潟県,6,新潟県第6区
富山県,1,富山県第1区
富山県,2,富山県第2区
富山県,3,富山県第3区
石川県,1,石川県第1区
石川県,2,石川県第2区
石川県,3,石川県第3区
福井県,1,福井県第1区
福井県,2,福井県第2区
山梨県,1,山梨県第1区
山梨県,2,山梨県第2区
山梨県,3,山梨県第3区
長野県,1,長野県第1区
長野県,2,長野県第2区
長野県,3,長野県第3区
長野県,4,長野県第4区
長野県,5,長野県第5区
岐阜県,1,岐阜県第1区
岐阜県,2,岐阜県第2区
岐阜県,3,岐阜県第3区
岐阜県,4,岐阜県第4区
岐阜県,5,岐阜県第5区
静岡県,1,静岡県第1区
静岡県,2,静岡県第2区
静岡県,3,静岡県第3区
静岡県,4,静岡県第4区
静岡県,5,静岡県第5区
静岡県,6,静岡県第6区
静岡県,7,静岡県第7区
静岡県,8,静岡県第8区
愛知県,1,愛知県第1区
愛知県,2,愛知県第2区
愛知県,3,愛知県第3区
愛知県,4,愛知県第4区
愛知県,5,愛知県第5区
愛知県,6,愛知県第6区
愛知県,7,愛知県第7区
愛知県,8,愛知県第8区
愛知県,9,愛知県第9区
愛知県,10,愛知県第10区
愛知県,11,愛知県第11区
愛知県,12,愛知県第12区
愛知県,13,愛知県第13区
愛知県,14,愛知県第14区
愛知県,15,愛知県第15区
三重県,1,三重県第1区
三重県,2,三重県第2区
三重県,3,三重県第3区
三重県,4,三重県第4区
三重県,5,三重県第5区
滋賀県,1,滋賀県第1区
滋賀県,2,滋賀県第2区
滋賀県,3,滋賀県第3区
滋賀県,4,滋賀県第4区
京都府,1,京都府第1区
京都府,2,京都府第2区
京都府,3,京都府第3区
京都府,4,京都府第4区
京都府,5,京都府第5区
京都府,6,京都府第6区
大阪府,1,大阪府第1区
大阪府,2,大阪府第2区
大阪府,3,大阪府第3区
大阪府,4,大阪府第4区
大阪府,5,大阪府第5区
大阪府,6,大阪府第6区
大阪府,7,大阪府第7区
大阪府,8,大阪府第8区
大阪府,9,大阪府第9区
大阪府,10,大阪府第10区
大阪府,11,大阪府第11区
大阪府,12,大阪府第12区
大阪府,13,大阪府第13区
大阪府,14,大阪府第14区
大阪府,15,大阪府第15区
大阪府,16,大阪府第16区
大阪府,17,大阪府第17区
大阪府,18,大阪府第18区
大阪府,19,大阪府第19区
兵庫県,1,兵庫県第1区
兵庫県,2,兵庫県第2区
兵庫県,3,兵庫県第3区
兵庫県,4,兵庫県第4区
兵庫県,5,兵庫県第5区
兵庫県,6,兵庫県第6区
兵庫県,7,兵庫県第7区
兵庫県,8,兵庫県第8区
兵庫県,9,兵庫県第9区
兵庫県,10,兵庫県第10区
兵庫県,11,兵庫県第11区
兵庫県,12,兵庫県第12区
奈良県,1,奈良県第1区
奈良県,2,奈良県第2区
奈良県,3,奈良県第3区
奈良県,4,奈良県第4区
和歌山県,1,和歌山県第1区
和歌山県,2,和歌山県第2区
和歌山県,3,和歌山県第3区
鳥取県,1,鳥取県第1区
鳥取県,2,鳥取県第2区
島根県,1,島根県第1区
島根県,2,島根県第2区
岡山県,1,岡山県第1区
岡山県,2,岡山県第2区
岡山県,3,岡山県第3区
岡山県,4,岡山県第4区
岡山県,5,岡山県第5区
広島県,1,広島県第1区
広島県,2,広島県第2区
広島県,3,広島県第3区
広島県,4,広島県第4区
広島県,5,広島県第5区
広島県,6,広島県第6区
広島県,7,広島県第7区
山口県,1,山口県第1区
山口県,2,山口県第2区
山口県,3,山口県第3区
山口県,4,山口県第4区
徳島県,1,徳島県第1区
徳島県,2,徳島県第2区
香川県,1,香川県第1区
香川県,2,香川県第2区
香川県,3,香川県第3区
愛媛県,1,愛媛県第1区
愛媛県,2,愛媛県第2区
愛媛県,3,愛媛県第3区
愛媛県,4,愛媛県第4区
高知県,1,高知県第1区
高知県,2,高知県第2区
福岡県,1,福岡県第1区
福岡県,2,福岡県第2区
福岡県,3,福岡県第3区
福岡県,4,福岡県第4区
福岡県,5,福岡県第5区
福岡県,6,福岡県第6区
福岡県,7,福岡県第7区
福岡県,8,福岡県第8区
福岡県,9,福岡県第9区
福岡県,10,福岡県第10区
福岡県,11,福岡県第11区
佐賀県,1,佐賀県第1区
佐賀県,2,佐賀県第2区
長崎県,1,長崎県第1区
長崎県,2,長崎県第2区
長崎県,3,長崎県第3区
長崎県,4,長崎県第4区
熊本県,1,熊本県第1区
熊本県,2,熊本県第2区
熊本県,3,熊本県第3区
熊本県,4,熊本県第4区
大分県,1,大分県第1区
大分県,2,大分県第2区
大分県,3,大分県第3区
宮崎県,1,宮崎県第1区
宮崎県,2,宮崎県第2区
宮崎県,3,宮崎県第3区
鹿児島県,1,鹿児島県第1区
鹿児島県,2,鹿児島県第2区
鹿児島県,3,鹿児島県第3区
鹿児島県,4,鹿児島県第4区
沖縄県,1,沖縄県第1区
沖縄県,2,沖縄県第2区
沖縄県,3,沖縄県第3区
沖縄県,4,沖縄県第4区

